Time(s),Thrust(N)
9.57,99116.43002
9.6,99109.30751
9.63,98998.7845
9.66,98906.4236
9.69,98783.0945
9.72,98772.97978
9.75,98772.00902
9.78,98772.26911
9.81,98773.52848
9.84,98728.59692
9.87,98655.75145
9.9,98590.76225
9.93,98445.30796
9.96,98408.98167
9.99,98394.25873
10.02,98387.35935
10.05,98367.73427
10.08,98346.15017
10.11,98326.57417
10.14,98290.63478
10.17,98183.30686
10.2,98112.13791
10.23,98051.30074
10.26,98042.16526
10.29,98040.85311
10.32,98040.48187
10.35,98040.71875
10.38,98020.25455
10.41,97958.03688
10.44,97905.59621
10.47,97822.21232
10.5,97764.48757
10.53,97763.2027
10.56,97763.68678
10.59,97767.87283
10.62,97752.79406
10.65,97723.885
10.68,97697.80954
10.71,97660.94516
10.74,97545.94089
10.77,97476.02692
10.8,97423.81384
10.83,97412.14751
10.86,97408.86508
10.89,97406.40841
10.92,97404.63762
10.95,97384.03737
10.98,97311.10582
11.01,97252.07802
11.04,97158.31117
11.07,97118.50569
11.1,97118.63071
11.13,97121.03199
11.16,97125.45666
11.19,97105.95569
11.22,97065.34996
11.25,97029.36617
11.28,96956.16673
11.31,96853.59334
11.34,96812.68603
11.37,96786.56007
11.4,96775.78099
11.43,96766.72566
11.46,96758.54411
11.49,96750.85745
11.52,96709.72718
11.55,96626.61279
11.58,96558.57619
11.61,96481.18599
11.64,96469.9581
11.67,96470.60602
11.7,96472.721
11.73,96475.90872
11.76,96446.61348
11.79,96395.9316
11.82,96352.54629
11.85,96256.5675
11.88,96190.42327
11.91,96176.92505
11.94,96168.36963
11.97,96162.03748
12.0,96142.13877
12.03,96123.65015
12.06,96106.50314
12.09,96043.75251
12.12,95952.62853
12.15,95891.27457
12.18,95840.46425
12.21,95837.31059
12.24,95834.68517
12.27,95832.76053
12.3,95831.37773
12.33,95787.23384
12.36,95716.70639
12.39,95654.47873
12.42,95541.03578
12.45,95505.66859
12.48,95493.3736
12.51,95487.006
12.54,95472.34295
12.57,95445.58198
12.6,95421.07816
12.63,95397.09029
12.66,95271.99112
12.69,95184.79475
12.72,95116.64568
12.75,94792.95713
12.78,94541.45673
12.81,94295.83093
12.84,94168.20922
12.87,93631.83645
12.9,92791.39404
12.93,92146.84603
12.96,91744.10419
12.99,91370.61962
13.02,90147.04154
13.05,88928.56955
13.08,88063.16154
13.11,87332.01634
13.14,86572.37982
13.17,85983.06739
13.2,84775.87589
