Time,Kn,Pressure,Thrust,Mass Flux,Mass Flow,Cf,Burn Depth,Surface Area
0.01,2553.48904870524,44454.421875,558630.625,116.220710754395,3286.06247505739,0,0,32088.08307
0.02,2546.02625739716,44227.3359375,555777,114.322486877441,3269.27633482658,0,0.0170679278671741,31994.3028881154
0.03,2538.58299243147,44001.33984375,552937,112.465065002441,3252.57079337658,0,0.0340984426438808,31900.768081435
0.04,2531.15951250456,43776.44140625,550110.875,110.647354125977,3235.94627930815,0,0.0510916113853455,31807.481900833
0.05,2523.75520859472,43552.61328125,547298.1875,108.868225097656,3219.40099811011,0,0.068047508597374,31714.436693118
0.06,2516.37033913621,43329.86328125,544499,107.126663208008,3202.93538004163,0,0.084966205060482,31621.6357058704
0.07,2509.00516277553,43108.1953125,541713.4375,105.421684265137,3186.5497292509,0,0.101847767829895,31529.0821893372
0.08,2501.65907124872,42887.58984375,538941.25,103.752281188965,3170.24250627475,0,0.118692271411419,31436.7684998496
0.09,2494.33232443016,42668.04296875,536182.3125,102.117515563965,3154.01377133081,0,0.135499775409698,31344.6979030847
0.1,2487.02489056175,42449.55859375,533436.75,100.516494750977,3137.86346149158,0,0.15227036178112,31252.8699999587
0.11,2479.73645166891,42232.125,530704.4375,98.9483108520508,3121.79065918635,0,0.16900409758091,31161.2807946857
0.12,2472.46726558831,42015.73828125,527985.25,97.4121246337891,3105.79542137386,0,0.185701057314873,31069.9335273365
0.13,2465.21730375702,41800.3984375,525279.1875,95.9071197509766,3089.87756715666,0,0.202361300587654,30978.8278389784
0.14,2457.98624768645,41586.09375,522586.15625,94.4324645996094,3074.03618241794,0,0.21898490190506,30887.9597273671
0.15,2450.77406921667,41372.81640625,519906.03125,92.9873886108398,3058.27084281403,0,0.235571920871735,30797.3288386341
0.16,2443.58073827665,41160.56640625,517238.8125,91.5711441040039,3042.58136962237,0,0.252122431993485,30706.9347948961
0.17,2436.40651064172,40949.34765625,514584.5625,90.1830215454102,3026.96806354461,0,0.268636524677277,30616.7808103197
0.18,2429.25107438781,40739.14453125,511943.09375,88.8223037719727,3011.42990031866,0,0.285114228725433,30526.8629651526
0.19,2422.11439373118,40529.953125,509314.3125,87.4882888793945,2995.96657208241,0,0.301555663347244,30437.1808097229
0.2,2414.99644480796,40321.7734375,506698.25,86.1803359985352,2980.57791003585,0,0.317960858345032,30347.7340441485
0.21,2407.89719592654,40114.59765625,504094.78125,84.8977890014648,2965.26348877154,0,0.334329903125763,30258.522270181
0.22,2400.81633603228,39908.4140625,501503.8125,83.640007019043,2950.0224164581,0,0.35066282749176,30169.5415789933
0.23,2393.754404354,39703.234375,498925.46875,82.4064331054688,2934.85558972895,0,0.366959750652313,30080.7987467332
0.24,2386.71080273979,39499.0390625,496359.46875,81.1964340209961,2919.76151836465,0,0.383220702409744,29992.2862568036
0.25,2379.68578709503,39295.83203125,493805.875,80.0094604492188,2904.74050371655,0,0.399445772171021,29904.0073250058
0.26,2372.67904303905,39093.6015625,491264.59375,78.8449401855469,2889.79165510327,0,0.415635019540787,29815.9580007165
0.27,2365.69083037312,38892.3515625,488735.59375,77.7023620605469,2874.91527814818,0,0.431788504123688,29728.1415486942
0.28,2358.7208310942,38692.0703125,486218.78125,76.5811920166016,2860.11048035911,0,0.447906315326691,29640.5539727956
0.29,2351.76930496922,38492.7578125,483714.15625,75.4809265136719,2845.37744310483,0,0.46398851275444,29553.1985373475
0.3,2344.83593822426,38294.41015625,481221.65625,74.4010696411133,2830.71552907736,0,0.480035156011581,29466.0712993513
0.31,2337.92070403634,38097.015625,478741.125,73.3411407470703,2816.12420273295,0,0.496046304702759,29379.1719217397
0.32,2331.02357564572,37900.57421875,476272.5625,72.3006820678711,2801.60330029419,0,0.512022018432617,29292.50006824
0.33,2324.14452244677,37705.08203125,473815.9375,71.2792434692383,2787.15253014408,0,0.527962386608124,29206.0553542504
0.34,2317.28380410857,37510.54296875,471371.28125,70.2763900756836,2772.77219599671,0,0.543867468833923,29119.8410428682
0.35,2310.44081358736,37316.93359375,468938.3125,69.2916793823242,2758.46069814793,0,0.559737384319305,29033.8495057582
0.36,2303.61581857993,37124.26171875,466517.125,68.3247146606445,2744.21847542173,0,0.57557213306427,28948.0841068966
0.37,2296.80879264873,36932.5234375,464107.6875,67.3750839233398,2730.04524321857,0,0.591371774673462,28862.5445140597
0.38,2290.01941566698,36741.70703125,461709.8125,66.4423904418945,2715.94012166166,0,0.607136428356171,28777.2267044162
0.39,2283.24824112752,36551.82421875,459323.6875,65.5262908935547,2701.90401063741,0,0.622866094112396,28692.1376333611
0.4,2276.49437736747,36362.84765625,456948.9375,64.6263580322266,2687.93486078941,0,0.638560891151428,28607.2660959305
0.41,2269.75865584431,36174.796875,454585.8125,63.7422790527344,2674.03414711019,0,0.654220879077911,28522.622540525
0.42,2263.04019331309,35987.64453125,452234,62.873664855957,2660.19983571105,0,0.66984611749649,28438.1958679635
0.43,2256.33982085696,35801.40625,449893.65625,62.0202140808105,2646.43327388153,0,0.68543666601181,28353.9965219426
0.44,2249.65665584929,35616.0625,447564.5625,61.1815605163574,2632.73268135915,0,0.700992584228516,28270.0134110515
0.45,2242.99124361911,35431.62109375,445246.78125,60.3574066162109,2619.09882078413,0,0.716513931751251,28186.2533880954
0.46,2236.3432730005,35248.07421875,442940.28125,59.5474281311035,2605.530956523,0,0.732000768184662,28102.7125428488
0.47,2229.71242547099,35065.40234375,440644.75,58.7512969970703,2592.02797663917,0,0.747453212738037,28019.3868726411
0.48,2223.09953893984,34883.6328125,438360.5625,57.9687652587891,2578.59159879673,0,0.762871265411377,27936.2869069484
0.49,2216.50343952425,34702.73046875,436087.28125,57.1994895935059,2565.21922423563,0,0.778255045413971,27853.3978943275
0.5,2209.92496499844,34522.70703125,433825.03125,56.4432220458984,2551.91207422246,0,0.793604552745819,27770.7303625575
0.51,2203.36379718184,34343.5625,431573.84375,55.6996841430664,2538.66965853675,0,0.808919906616211,27688.2803132644
0.52,2196.81962601766,34165.27734375,429333.4375,54.9685859680176,2525.49088112779,0,0.824201166629791,27606.0438501603
0.53,2190.29299602506,33987.8671875,427104.03125,54.2496948242188,2512.37674312584,0,0.839448392391205,27524.0278158734
0.54,2183.7830278837,33811.3046875,424885.3125,53.542724609375,2499.32524968885,0,0.854661643505096,27442.2211605408
0.55,2177.29055072021,33635.609375,422677.4375,52.8474617004395,2486.33785085427,0,0.869840979576111,27360.6343032728
0.56,2170.81468581446,33460.75390625,420480.15625,52.1636238098145,2473.41255773523,0,0.884986460208893,27279.2562017489
0.57,2164.35626192851,33286.7578125,418293.65625,51.4910202026367,2460.55081649071,0,0.900098145008087,27198.0972704981
0.58,2157.91440093983,33113.59375,416117.59375,50.8293762207031,2447.75064415843,0,0.915176093578339,27117.1464747095
0.59,2151.48964699644,32941.27734375,413952.21875,50.1785049438477,2435.01303759709,0,0.930220365524292,27036.4106523473
0.6,2145.08168347356,32769.796875,411797.3125,49.5381660461426,2422.33715021129,0,0.945231080055237,26955.8858245883
0.61,2138.69077767483,32599.15234375,409652.9375,48.9081611633301,2409.723167915,0,0.960208237171173,26875.5753504681
0.62,2132.31632924678,32429.328125,407518.875,48.288257598877,2397.16980377352,0,0.97515195608139,26795.4716857242
0.63,2125.95860567694,32260.328125,405395.15625,47.6782722473145,2384.67736918476,0,0.990062236785889,26715.5781917033
0.64,2119.61785885626,32092.15625,403281.84375,47.078010559082,2372.24615558636,0,1.00493919849396,26635.8980337598
0.65,2113.29349676041,31924.794921875,401178.71875,46.4872627258301,2359.87482918644,0,1.01978290081024,26556.4237722981
0.66,2106.98578679604,31758.248046875,399085.84375,45.9058532714844,2347.56370038044,0,1.03459334373474,26477.1587676486
0.67,2100.69469718388,31592.51171875,397003.125,45.3335952758789,2335.31249701517,0,1.04937064647675,26398.1026204612
0.68,2094.42021149967,31427.58203125,394930.5625,44.7703094482422,2323.12096447287,0,1.06411480903625,26319.2551243427
0.69,2088.16201462226,31263.451171875,392868.03125,44.2158164978027,2310.98839418597,0,1.07882595062256,26240.6123193647
0.7,2081.92035859204,31100.119140625,390815.53125,43.6699447631836,2298.91495463479,0,1.09350419044495,26162.1773727595
0.71,2075.69494384366,30937.578125,388773,43.1325263977051,2286.89995679026,0,1.10814952850342,26083.9465200788
0.72,2069.48603762301,30775.83203125,386740.4375,42.6034088134766,2274.94370904194,0,1.12276196479797,26005.9231196326
0.73,2063.29332536227,30614.869140625,384717.71875,42.0824203491211,2263.04538426262,0,1.1373416185379,25928.103218446
0.74,2057.11679117557,30454.6875,382704.8125,41.569408416748,2251.20479479409,0,1.15188848972321,25850.4866168913
0.75,2050.95668700401,30295.291015625,380701.78125,41.0642318725586,2239.42223134273,0,1.16640269756317,25773.0764809532
0.76,2044.81269870597,30136.669921875,378708.5,40.5667304992676,2227.69693255531,0,1.18088436126709,25695.8688630124
0.77,2038.68481056042,29978.818359375,376724.875,40.0767593383789,2216.02858844874,0,1.19533348083496,25618.8635655125
0.78,2032.57299170008,29821.734375,374750.875,39.5941772460938,2204.41699667161,0,1.20975017547607,25542.0602005642
0.79,2026.47722650323,29665.416015625,372786.53125,39.1188468933105,2192.86197184656,0,1.22413444519043,25465.458571859
