Time(s),Thrust(N)
9.57,119614.97088
9.6,119080.97292
9.63,118990.3029
9.66,118958.2525
9.69,118930.35091
9.72,118902.54458
9.75,118754.08608
9.78,118168.88278
9.81,118144.83737
9.84,118123.50496
9.87,118104.9682
9.9,118015.56311
9.93,117849.42175
9.96,117342.78644
9.99,117282.93177
10.02,117239.5082
10.05,117191.55751
10.08,117143.75319
10.11,117044.14304
10.14,116437.7378
10.17,116425.33362
10.2,116413.66328
10.23,116402.79436
10.26,116392.68386
10.29,116092.97116
10.32,115610.37197
10.35,115569.70237
10.38,115538.50812
10.41,115474.28629
10.44,115395.42015
10.47,115316.57353
10.5,114748.29654
10.53,114693.83829
10.56,114672.17194
10.59,114650.69532
10.62,114629.49111
10.65,114265.31062
10.68,113884.28092
10.71,113857.89147
10.74,113835.47099
10.77,113799.38986
10.8,113668.05176
10.83,113536.73659
10.86,113042.84857
10.89,112986.89238
10.92,112948.88012
10.95,112910.83319
10.98,112872.86828
11.01,112404.6791
11.04,112174.26941
11.07,112165.70552
11.1,112158.13374
11.13,112151.49683
11.16,112038.17088
11.19,111389.32471
11.22,111333.80193
11.25,111292.72633
11.28,111248.97952
11.31,111185.33394
11.34,110324.50546
11.37,108206.03836
11.4,107199.73578
11.43,105457.4922
11.46,104526.17308
11.49,103310.50734
11.52,101444.75515
11.55,96838.8978
11.58,93452.15463
11.61,90683.11711
11.64,88044.66147
11.67,84972.97486
11.7,81189.03263
11.73,76370.6534
11.76,73861.26044
11.79,70886.78921
11.82,68525.3219
11.85,66025.15407
11.88,63122.53953
11.91,57621.17145
11.94,56735.38563
11.97,55728.76129
12.0,54740.51668
12.03,53221.84735
12.06,52158.01961
12.09,51031.44043
12.12,50610.14634
12.15,49750.84587
12.18,49443.67793
12.21,48737.24543
12.24,48360.65103
12.27,47037.79368
12.3,46776.12315
12.33,46086.08245
12.36,45670.49411
12.39,45223.20242
12.42,44516.33882
12.45,43468.7446
12.48,43012.99129
12.51,42581.62579
12.54,42156.75486
12.57,41565.97224
12.6,41154.18448
12.63,40057.23285
12.66,39670.18263
12.69,39216.66612
12.72,38831.16382
12.75,38381.64821
12.78,37594.05494
12.81,36804.72972
12.84,36361.38205
12.87,36012.06653
12.9,35605.73773
12.93,35040.14758
12.96,34090.47425
12.99,33587.85325
13.02,33362.11934
13.05,32805.482
13.08,32370.12177
13.11,32059.45633
13.14,31033.1953
13.17,30581.93132
13.2,30291.62594
13.23,29830.41197
13.26,29503.94256
13.29,29083.98669
13.32,27936.61469
13.35,27641.02915
13.38,27359.44074
13.41,26640.40342
13.44,26338.00509
13.47,26102.05471
13.5,24920.21631
13.53,24614.38317
13.56,24427.82998
13.59,23780.09285
13.62,23530.11929
13.65,23179.72635
13.68,22175.75761
13.71,21743.38039
13.74,21421.32867
13.77,21048.11377
13.8,20575.80801
13.83,20230.28109
13.86,19282.54319
13.89,18860.33365
13.92,18597.68312
13.95,18237.81454
13.98,17753.92952
14.01,17220.3241
14.04,16649.31873
14.07,16137.16715
14.1,15700.14369
14.13,15518.18551
14.16,15114.7562
14.19,14528.96119
14.22,13839.30355
14.25,12816.58893
14.28,11610.38459
14.31,10410.45561
14.34,9897.78375
14.37,8457.88794
14.4,6740.21367
14.43,5675.00108
14.46,5463.2623
14.49,4476.62614
14.52,4109.18036
14.55,2858.20098
14.58,1666.5243
14.61,709.11994
14.64,0
